country,happinessrank,happinessscore,whiskerhigh,whiskerlow,economysituation,family,healthlifeexpectancy,freedom,governmentcorruption.,generosity,dystopiaresidual,terrorismevent
Norway,1,7.537,7.594445,7.479556,1.616463,1.533524,0.796667,0.635423,0.315964,0.362012,2.277027,1
Denmark,2,7.522,7.581728,7.462272,1.482383,1.551122,0.792566,0.626007,0.400770,0.355280,2.313707,0
Iceland,3,7.504,7.622030,7.385970,1.480633,1.610574,0.833552,0.627163,0.153527,0.475540,2.322715,0
Switzerland,4,7.494,7.561772,7.426227,1.564980,1.516912,0.858131,0.620071,0.367007,0.290549,2.276716,0
Finland,5,7.469,7.527542,7.410458,1.443572,1.540247,0.809158,0.617951,0.382612,0.245483,2.430182,2
Netherlands,6,7.377,7.427426,7.326574,1.503945,1.428939,0.810696,0.585384,0.282662,0.470490,2.294804,1
Canada,7,7.316,7.384403,7.247597,1.479204,1.481349,0.834558,0.611101,0.287372,0.435540,2.187264,12
New Zealand,8,7.314,7.379510,7.248490,1.405706,1.548195,0.816760,0.614062,0.382817,0.500005,2.046456,0
Sweden,9,7.284,7.344095,7.223905,1.494387,1.478162,0.830875,0.612924,0.384399,0.385399,2.097538,18
Australia,10,7.284,7.356651,7.211349,1.484415,1.510042,0.843887,0.601607,0.301184,0.477699,2.065211,4
Israel,11,7.213,7.279853,7.146146,1.375382,1.376290,0.838404,0.405989,0.085242,0.330083,2.801757,32
Costa Rica,12,7.079,7.168112,6.989888,1.109706,1.416404,0.759509,0.580132,0.100107,0.214613,2.898639,0
Austria,13,7.006,7.070670,6.941330,1.487097,1.459945,0.815328,0.567766,0.221060,0.316472,2.138506,1
United States,14,6.993,7.074657,6.911343,1.546259,1.419921,0.774287,0.505741,0.135639,0.392579,2.218113,65
Ireland,15,6.977,7.043352,6.910649,1.535707,1.558231,0.809783,0.573110,0.298388,0.427858,1.773869,17
Germany,16,6.951,7.005382,6.896619,1.487923,1.472520,0.798951,0.562511,0.276732,0.336269,2.015770,27
Belgium,17,6.891,6.955821,6.826179,1.463781,1.462313,0.818092,0.539771,0.251343,0.231503,2.124210,3
Luxembourg,18,6.863,6.923686,6.802314,1.741944,1.457584,0.845089,0.596628,0.318834,0.283181,1.619512,0
United Kingdom,19,6.714,6.783792,6.644209,1.441634,1.496460,0.805336,0.508190,0.265428,0.492774,1.704144,122
Chile,20,6.652,6.739251,6.564749,1.252785,1.284025,0.819480,0.376895,0.082288,0.326662,2.509586,12
United Arab Emirates,21,6.648,6.722047,6.573952,1.626343,1.266410,0.726798,0.608345,0.324490,0.360942,1.734704,0
Brazil,22,6.635,6.725470,6.544531,1.107353,1.431306,0.616552,0.437454,0.111093,0.162350,2.769267,2
Czech Republic,23,6.609,6.683862,6.534138,1.352682,1.433885,0.754444,0.490946,0.036873,0.088107,2.451862,3
Argentina,24,6.599,6.690085,6.507915,1.185295,1.440451,0.695137,0.494519,0.059740,0.109457,2.614005,3
Mexico,25,6.578,6.671149,6.484851,1.153184,1.210862,0.709979,0.412730,0.132774,0.120990,2.837155,20
Singapore,26,6.572,6.636723,6.507277,1.692278,1.353814,0.949492,0.549841,0.464308,0.345966,1.216362,0
Malta,27,6.527,6.598397,6.455603,1.343280,1.488412,0.821944,0.588767,0.153066,0.574731,1.556863,3
Uruguay,28,6.454,6.545906,6.362094,1.217560,1.412228,0.719217,0.579392,0.178062,0.175097,2.172410,0
Guatemala,29,6.454,6.566874,6.341126,0.872002,1.255585,0.540240,0.531311,0.077223,0.283488,2.893891,0
Panama,30,6.452,6.557131,6.346870,1.233748,1.373193,0.706156,0.550027,0.070984,0.210557,2.307200,0
France,31,6.442,6.515768,6.368232,1.430923,1.387777,0.844466,0.470222,0.172502,0.129762,2.005955,41
Thailand,32,6.424,6.509117,6.338883,1.127869,1.425792,0.647239,0.580201,0.031613,0.572123,2.039508,179
Taiwan Province of China,33,6.422,6.494596,6.349404,1.433627,1.384565,0.793984,0.361467,0.063829,0.258360,2.126607,1
Spain,34,6.403,6.471055,6.334945,1.384398,1.532091,0.888961,0.408781,0.070914,0.190134,1.927758,4
Qatar,35,6.375,6.568477,6.181523,1.870766,1.274297,0.710098,0.604131,0.439299,0.330474,1.145464,0
Colombia,36,6.357,6.452020,6.261980,1.070622,1.402183,0.595028,0.477487,0.046669,0.149014,2.616068,117
Saudi Arabia,37,6.344,6.444167,6.243833,1.530624,1.286678,0.590148,0.449751,0.273432,0.147616,2.065430,54
Trinidad and Tobago,38,6.168,6.381534,5.954467,1.361356,1.380229,0.519983,0.518631,0.008965,0.325296,2.053247,0
Kuwait,39,6.105,6.191957,6.018043,1.632952,1.259699,0.632106,0.496338,0.215160,0.228290,1.640425,0
Slovakia,40,6.098,6.177348,6.018652,1.325394,1.505059,0.712733,0.295817,0.024211,0.136544,2.097777,0
Bahrain,41,6.087,6.178989,5.995011,1.488412,1.323110,0.653133,0.536747,0.257042,0.172668,1.656149,21
Malaysia,42,6.084,6.179980,5.988021,1.291215,1.284646,0.618784,0.402265,0.065601,0.416609,2.004449,4
